"","Country","2000","2001","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1","Country","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011",2012,2013,2014,2015,"2016",2017,"2018","2019","2020"
"2","Australia","1930.97","1977.9","1880.92","1686.18","1453.49","1383.68","1299.9","1228.21","1113.34","1096.2","982.87","964.52",933.93,969.46,1093.23,1156.31,"1173.37",1164.71,"1158.47","1056.43","928.58"
"3","Belgium","133.26","144.1","143.11","128.54","115.5","112.56","116.08","113.39","93.47","78.52","91.01","93.12",87.78,82.97,91.37,90.77,"101.6",94.27,"88.99","83.61","75.76"
"4","Canada","2249.19","2192.59","2247.02","2256.3","2181.96","1950.47","1741.25","1734.18","1608.08","1470.8","1533.53","1698.34",1772,1819.3,2160.24,2504.95,"2576.94",2887.34,"2710.44","2669.16","1806.15"
"5","Chile",NA,NA,NA,NA,NA,NA,NA,"1667.84","2390.97","2496.32","1142.91","1228.6",1174.32,1430.22,1947.43,1141.61,"1081.51",1539.18,"921.03","987.34","981.2"
"6","Colombia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.73,14.31,16.12,17,"11.86",43.64,"21.81","144.37","112.52"
"7","Costa Rica","93.14","80.59","83.59","66.85","57.95","64.61","63.88","52.51","77.9","58.99","67.14","81.81",65.37,48.91,52.19,49.53,"33.8",36.62,"46.38","46.24","61.45"
"8","Denmark","646.97","688.31","692.61","511.83","489.53","511.14","540.05","460.9","416.15","357.67","462.12","493.92",447.35,456.07,435.03,504.19,"543.75",500.14,"512.59","469.88","441.13"
"9","Estonia",NA,NA,NA,NA,NA,"0","77.8","71.02","74.04","56.36","68.6","76.01",67.2,69.24,59.77,63.79,"58.69",64.9,"61.91","73.52","52.54"
"10","Finland","34.79","32.04","32.9","26.86","25.34","23.05","26.81","32.9","29.3","29.67","33.01","39.34",41.92,53.35,45.58,37.33,"43.98",39.8,"38.42","38.81","31.45"
"11","France","1169.62","1145.39","1169.53","1074.51","1031.62","976.24","1038.47","949.86","829.59","603.14","612.23","1054.85",553.54,620.75,648.31,1046.67,"1037.42",880.43,"1028.85","1221.76","970.96"
"12","Germany","475.37","488.41","248.73","235.5","229.49","264.53","272.96","286.07","265.73","212.46","234.15","240.98",243.72,242.4,243.76,209.16,"307.03",278.79,"297.14","201.68","185.15"
"13","Greece",NA,NA,"356.24","380.58","390.27","402.98","432.81","409.85","349.05","339.63","329.63","285.74",248.7,262.76,262.44,249.81,"212.89",202.33,"148.78","205.09","154.97"
"14","Iceland","968.53","1058.31","1118.28","991.75","961.51","905.64","957.6","968.45","1065.05","1117.65","1132.55","1257.97",1269.71,1143.24,1122.11,1117.02,"1024.43",809.64,"939.96",NA,NA
"15","Ireland","328.36","416.45","313.33","250.34","180.6","389.64","590.77","526.93","291.39","226.73","244.28","305.62",283.71,280.09,327.96,269.43,"309.2",279.39,"267.15",NA,NA
"16","Italy",NA,NA,NA,NA,"1816.52","1792.1","1889.23","1681.9","1331.66","1423.83","1314.85","1278.01",1062.44,939.73,909.89,997.65,"995.33",1030.65,"1033.88","956.68","684.14"
"17","Japan","9099.06","8688.05","8584.47","7962.36","8280.07","8332.15","8560.09","9089.81","9157.19","7956.38","8107.44","7971.8",7813.89,8094.94,8149.42,8224.02,"7913.09",7925.89,"7712.63","6967.88",NA
"18","Korea","2844.12","2911.3","2850.54","2667.85","2806.81","2872.91","2924.95","3051.41","3257.42","3553.02","3712.41","4166.09",3660.99,3438.66,3428.85,3262.17,"3140.46",3391.76,"3467.45","3353.95","3646.64"
"19","Latvia",NA,NA,NA,NA,"51.34","54.73","55.51","50.04","51.31","56.12","54.17","54.36",33.13,48.15,50.32,41.08,"56.37",36.82,"43.61","35.76","43.28"
"20","Lithuania",NA,NA,NA,NA,"12.23","13.75","176.67","219.6","28.16","33.94","50.84","31.7",30.14,89.28,153.98,70.87,"114.02",65.17,"59.9","84.49","66.61"
"21","Mexico","1293.12","1206.1","1147.38","1127.33","1090.7","936.37","976.55","1000.57","873.06","845.99","871.69","827.49",837.16,901.94,980.03,1296.47,"1274.07",889.63,"2034.55","1973.51","1951.4"
"22","Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,"444.12","388.24","402.36","390.66",405.62,410.96,417.95,416.04,"515.2",480.05,"464.7","362.35","333.85"
"23","New Zealand",NA,"198.77","853.49","711.62","601.34","573.47","487.26","542.39","508.75","500.44","574.05","568.37",572.2,565.64,527.02,530.36,"539.53",510.37,"455","460.19","442.36"
"24","Norway","1967.81","2272.67","2255.25","1745.55","1928.01","1989.11","1830.39","1833.74","1676.37","1640.47","1826.7","2059.23",1765.45,1538.45,1746.44,2106.69,"2356.2",2260.37,"2370.82","2470.75","2714.87"
"25","Poland","143.88","128.21","93.13","78.66","46.12","40.39","43.26","39.56","26.46","35.53","34.75","39.68",50.33,50,42.18,43.85,"45.49",44.66,"45.38","39.48","36.42"
"26","Portugal","412.56","423.42","423.93","392.6","343.36","326.88","292.4","330.21","478.23","424.63","503.47","502.5",523.74,476.69,426.34,413.17,"521.2",524.21,"528.32","532.42","475.8"
"27","Slovenia",NA,NA,NA,NA,NA,NA,"1.9","2.3","1.69","1.94","2.31","2.35",1.67,1.38,1.42,1.4,"1.25",0.96,"0.96","0.91","1.25"
"28","Spain","2625.31","2610.65","2709.67","2493.39","2367.3","1862.41","1988.14","1913.42","2144.64","2004.25","2086.25","1971.01",2059.43,2381.83,3007.82,2275.02,"2250.05",2202.74,"1988.11",NA,"1531.16"
"29","Sweden","160.63","191.33","170.31","139.65","133.6","138.32","150.86","158.78","142","129.22","130.82","140.21",141,133,112.39,126.28,"136.05",144.92,"129.51","117.89","104.67"
"30","TÃ¼rkiye","804.81","706.37","660.05","740.67","845.8","1129.33","1114.84","794.34","583.4","403.31","492.23","499.59",498.51,474.38,393.06,415.62,"416.11",431.2,"452.94","509.43","535.31"
"31","United Kingdom","1153.47","1184.46","1101.9","1036.54","977.53","1066.01","1107.9","1137.81","1081.68","1136.96","1188.77","1345.49",1254.7,1157,1330.22,1184.9,"1419.28",1459.51,"1453.84","1375.46","1055.17"
"32","United States","5045","4409.6","4225.72","4320.32","4738.54","4801.48","4963.34","4805.72","4968.45","4504.52","5374.18","6255.62",6386.37,6424.74,6202.98,5657.4,"5930.6",5702.22,"5755.03","5464.46","4634.6"
"33","OECD - Total","38212.45","37588.73","37439.58","35103.24","35353.93","35111.35","35839.36","35603.55","35364.38","33188.67","33667.05","35930.72",34291.76,34619.82,36385.83,35520.53,"36140.75",35922.29,"36238.55","34870.21","32234.4"
"34","  Argentina",NA,NA,NA,NA,NA,NA,NA,"3086.01","2814.06","2030.6","2216.59","2014.3",1766.7,1922.76,1989.62,1845.89,"2217.35",2652.96,"3390.25","3139.29","3133.22"
"35","  China (People's Republic of)",NA,NA,NA,"19386.89","20617.52","20858.83","22006.67","22024.85","21366.15","22635.44","23318.04","25244.54",28286.16,30099.71,31279.22,32172.08,"31309.27",30196.31,"32714.27","30576.33","31581.79"
"36","  Indonesia",NA,NA,NA,NA,NA,"5439.92","5328.48","5802.57","5082.76","5094.91","5709.99","5747.79",6189.94,7630.61,7724.96,8219.31,NA,12573.71,NA,NA,NA
"37","  Chinese Taipei","1847.11","1815.35","1804.18","1935.31","2020.73","1844.15","1787.39","1994.03","1899.25","1786.43","1842.13","2149.67",2282.95,1989.88,2008.77,1653.51,"1638.14",1695.34,"1641.88","1604.78","1228.97"
"38","  Thailand","2157.92","2302.33","2460.29","2647.62","2462","2396.63","2273.79","1947.31","1410.98","1428.66","1460.84","1535.78",1667.35,1676.42,1536.46,1486.24,"1587.09",1625.48,"1792.43",NA,NA
